"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","20","87","7","1","78.116295","0","2148"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","20","127","1","1","106.135780","0","1355"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","20","656","1","1","474.159454","0","14943"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","20","29","2","1","21.978848","0","197"
"/Game/model/test.test","20","14","1","1","13.537207","0","77"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","20","4","1","1","2.062368","0","13"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","20","4","1","1","2.297400","0","13"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","20","36","2","1","24.186903","0","366"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","20","4","1","1","3.311896","0","13"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","20","10","3","1","9.536648","0","41"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","20","68","7","1","161.090729","0","816"
"/Engine/OpenWorldTemplate/LandscapeMaterial/M_ProcGrid.M_ProcGrid","20","28","2","2","23.497126","0","140"
"/Interchange/gltf/M_Unlit.M_Unlit","20","61","11","6","45.929848","0","397"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","20","58","3","1","61.728127","0","668"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","20","84","1","1","87.575356","0","1001"
"/Interchange/gltf/M_SpecularGlossiness.M_SpecularGlossiness","20","135","16","6","124.638046","0","1081"
"/Interchange/gltf/M_Transmission.M_Transmission","20","50","2","2","160.493622","0","393"
"/Interchange/gltf/M_Sheen.M_Sheen","20","135","13","6","129.797394","0","941"
"/Interchange/gltf/M_ClearCoat.M_ClearCoat","20","135","7","6","139.284729","0","889"
"/Interchange/gltf/M_Default.M_Default","20","135","19","6","140.552094","0","767"
